service,modifier,location,language,page_type,focus_keyword,suggested_slug,title_tag,meta_description,parent_page,sibling_link_targets,cross_service_target,monthly_volume,keyword_difficulty,intent,priority_tier,notes
Google Ads,agentur,Essen,de,geo,google ads agentur Essen,/google-ads/essen/,google ads agentur Essen | NEO THE AGENCY,"NEO THE AGENCY bietet google ads agentur Essen für Unternehmen in Essen. Strategie, Setup und laufende Optimierung für messbare Performance.",/google-ads/,/google-ads/duisburg/ | /google-ads/bochum/ | /google-ads/wuppertal/,/seo/essen/,,,,Tier 2,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped."
Google Ads,agentur,Wuppertal,de,geo,google ads agentur Wuppertal,/google-ads/wuppertal/,google ads agentur Wuppertal | NEO THE AGENCY,"NEO THE AGENCY bietet google ads agentur Wuppertal für Unternehmen in Wuppertal. Strategie, Setup und laufende Optimierung für messbare Performance.",/google-ads/,/google-ads/essen/ | /google-ads/duisburg/ | /google-ads/bochum/,/seo/wuppertal/,,,,Tier 2,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped."
SEO,agentur,Bochum,de,geo,seo agentur Bochum,/seo/bochum/,seo agentur Bochum | NEO THE AGENCY,"NEO THE AGENCY bietet seo agentur Bochum für Unternehmen in Bochum. Technische SEO, Content-Struktur und klare Prioritäten für organisches Wachstum.",/seo/,/seo/essen/ | /seo/duisburg/ | /seo/wuppertal/,/google-ads/bochum/,,,,Tier 2,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped."
SEO,agentur,Duisburg,de,geo,seo agentur Duisburg,/seo/duisburg/,seo agentur Duisburg | NEO THE AGENCY,"NEO THE AGENCY bietet seo agentur Duisburg für Unternehmen in Duisburg. Technische SEO, Content-Struktur und klare Prioritäten für organisches Wachstum.",/seo/,/seo/essen/ | /seo/bochum/ | /seo/wuppertal/,/google-ads/duisburg/,,,,Tier 2,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped."
SEO,agentur,Essen,de,geo,seo agentur Essen,/seo/essen/,seo agentur Essen | NEO THE AGENCY,"NEO THE AGENCY bietet seo agentur Essen für Unternehmen in Essen. Technische SEO, Content-Struktur und klare Prioritäten für organisches Wachstum.",/seo/,/seo/duisburg/ | /seo/bochum/ | /seo/wuppertal/,/google-ads/essen/,,,,Tier 2,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped."
SEO,agentur,Wuppertal,de,geo,seo agentur Wuppertal,/seo/wuppertal/,seo agentur Wuppertal | NEO THE AGENCY,"NEO THE AGENCY bietet seo agentur Wuppertal für Unternehmen in Wuppertal. Technische SEO, Content-Struktur und klare Prioritäten für organisches Wachstum.",/seo/,/seo/essen/ | /seo/duisburg/ | /seo/bochum/,/google-ads/wuppertal/,,,,Tier 2,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped."
Webdesign,agentur,Bochum,de,geo,webdesign agentur Bochum,/webdesign/bochum/,webdesign agentur Bochum | NEO THE AGENCY,"NEO THE AGENCY bietet webdesign agentur Bochum für Unternehmen in Bochum. Strategie, Design und Entwicklung moderner Websites mit Conversion-Fokus.",/webdesign/,/webdesign/essen/ | /webdesign/duisburg/ | /webdesign/wuppertal/,/seo/bochum/,,,,Tier 2,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped."
Webdesign,agentur,Duisburg,de,geo,webdesign agentur Duisburg,/webdesign/duisburg/,webdesign agentur Duisburg | NEO THE AGENCY,"NEO THE AGENCY bietet webdesign agentur Duisburg für Unternehmen in Duisburg. Strategie, Design und Entwicklung moderner Websites mit Conversion-Fokus.",/webdesign/,/webdesign/essen/ | /webdesign/bochum/ | /webdesign/wuppertal/,/seo/duisburg/,,,,Tier 2,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped."
Webdesign,agentur,Essen,de,geo,webdesign agentur Essen,/webdesign/essen/,webdesign agentur Essen | NEO THE AGENCY,"NEO THE AGENCY bietet webdesign agentur Essen für Unternehmen in Essen. Strategie, Design und Entwicklung moderner Websites mit Conversion-Fokus.",/webdesign/,/webdesign/duisburg/ | /webdesign/bochum/ | /webdesign/wuppertal/,/seo/essen/,,,,Tier 2,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped."
Webdesign,agentur,Wuppertal,de,geo,webdesign agentur Wuppertal,/webdesign/wuppertal/,webdesign agentur Wuppertal | NEO THE AGENCY,"NEO THE AGENCY bietet webdesign agentur Wuppertal für Unternehmen in Wuppertal. Strategie, Design und Entwicklung moderner Websites mit Conversion-Fokus.",/webdesign/,/webdesign/essen/ | /webdesign/duisburg/ | /webdesign/bochum/,/seo/wuppertal/,,,,Tier 2,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped."
